path,country,id,year_enacted,year_updated,title,region,word_length
global_risk_data\constitutions_text\Afghanistan_2004.html,The Islamic Republic of Afghanistan,Afghanistan_2004,2004,,Afghanistan 2004,Asia,10390.0
global_risk_data\constitutions_text\Albania_2016.html,Republic of Albania,Albania_2016,1998,2016.0,Albania 1998 (rev. 2016),Europe,23186.0
global_risk_data\constitutions_text\Algeria_2020.html,People's Democratic Republic of Algeria,Algeria_2020,2020,,Algeria 2020,Africa,
global_risk_data\constitutions_text\Andorra_1993.html,Principality of Andorra,Andorra_1993,1993,,Andorra 1993,Europe,8770.0
global_risk_data\constitutions_text\Angola_2010.html,Republic of Angola,Angola_2010,2010,,Angola 2010,Africa,26474.0
global_risk_data\constitutions_text\Antigua_and_Barbuda_1981.html,Antigua and Barbuda,Antigua_and_Barbuda_1981,1981,,Antigua and Barbuda 1981,Americas,36386.0
global_risk_data\constitutions_text\Argentina_1994.html,Argentine Republic,Argentina_1994,1853,1994.0,"Argentina 1853 (reinst. 1983, rev. 1994)",Americas,13051.0
global_risk_data\constitutions_text\Armenia_2015.html,Republic of Armenia,Armenia_2015,1995,2015.0,Armenia 1995 (rev. 2015),Asia,22240.0
global_risk_data\constitutions_text\Australia_1985.html,Australia,Australia_1985,1901,1985.0,Australia 1901 (rev. 1985),Oceania,16522.0
global_risk_data\constitutions_text\Austria_2013.html,Republic of Austria,Austria_2013,1920,2013.0,"Austria 1920 (reinst. 1945, rev. 2013)",Europe,49496.0
global_risk_data\constitutions_text\Azerbaijan_2016.html,Republic of Azerbaijan,Azerbaijan_2016,1995,2016.0,Azerbaijan 1995 (rev. 2016),Asia,18398.0
global_risk_data\constitutions_text\Bahamas_1973.html,Commonwealth of the Bahamas,Bahamas_1973,1973,,Bahamas (The) 1973,Americas,35832.0
global_risk_data\constitutions_text\Bahrain_2017.html,Kingdom of Bahrain,Bahrain_2017,2002,2017.0,Bahrain 2002 (rev. 2017),Asia,11366.0
global_risk_data\constitutions_text\Bangladesh_2014.html,People's Republic of Bangladesh,Bangladesh_2014,1972,2014.0,"Bangladesh 1972 (reinst. 1986, rev. 2014)",Asia,25796.0
global_risk_data\constitutions_text\Barbados_2007.html,Barbados,Barbados_2007,1966,2007.0,Barbados 1966 (rev. 2007),Americas,33892.0
global_risk_data\constitutions_text\Belarus_2004.html,Republic of Belarus,Belarus_2004,1994,2004.0,Belarus 1994 (rev. 2004),Europe,13471.0
global_risk_data\constitutions_text\Belgium_2014.html,Kingdom of Belgium,Belgium_2014,1831,2014.0,Belgium 1831 (rev. 2014),Europe,20596.0
global_risk_data\constitutions_text\Belize_2011.html,Belize,Belize_2011,1981,2011.0,Belize 1981 (rev. 2011),Americas,41677.0
global_risk_data\constitutions_text\Benin_1990.html,Republic of Benin,Benin_1990,1990,,Benin 1990,Africa,11293.0
global_risk_data\constitutions_text\Bhutan_2008.html,Kingdom of Bhutan,Bhutan_2008,2008,,Bhutan 2008,Asia,13627.0
global_risk_data\constitutions_text\Bolivia_2009.html,Plurinational State of Bolivia,Bolivia_2009,2009,,Bolivia (Plurinational State of) 2009,Americas,40235.0
global_risk_data\constitutions_text\Bosnia_Herzegovina_2009.html,Bosnia and Herzegovina,Bosnia_Herzegovina_2009,1995,2009.0,Bosnia and Herzegovina 1995 (rev. 2009),Europe,5339.0
global_risk_data\constitutions_text\Botswana_2016.html,Republic of Botswana,Botswana_2016,1966,2016.0,Botswana 1966 (rev. 2016),Africa,31746.0
global_risk_data\constitutions_text\Brazil_2017.html,Federative Republic of Brazil,Brazil_2017,1988,2017.0,Brazil 1988 (rev. 2017),Americas,72797.0
global_risk_data\constitutions_text\Brunei_2006.html,Brunei Darussalam,Brunei_2006,1959,2006.0,Brunei Darussalam 1959 (rev. 2006),Asia,16293.0
global_risk_data\constitutions_text\Bulgaria_2015.html,Republic of Bulgaria,Bulgaria_2015,1991,2015.0,Bulgaria 1991 (rev. 2015),Europe,13239.0
global_risk_data\constitutions_text\Burkina_Faso_2015.html,Burkina Faso,Burkina_Faso_2015,1991,2015.0,Burkina Faso 1991 (rev. 2015),Africa,12042.0
global_risk_data\constitutions_text\Burundi_2018.html,Republic of Burundi,Burundi_2018,2018,,Burundi 2018,Africa,15579.0
global_risk_data\constitutions_text\Cambodia_2008.html,Kingdom of Cambodia,Cambodia_2008,1993,2008.0,Cambodia 1993 (rev. 2008),Asia,9340.0
global_risk_data\constitutions_text\Cameroon_2008.html,Republic of Cameroon,Cameroon_2008,1972,2008.0,Cameroon 1972 (rev. 2008),Africa,8635.0
global_risk_data\constitutions_text\Canada_2011.html,Canada,Canada_2011,1867,2011.0,Canada 1867 (rev. 2011),Americas,20617.0
global_risk_data\constitutions_text\Cape_Verde_1992.html,Republic of Cape Verde,Cape_Verde_1992,1980,1992.0,Cape Verde 1980 (rev. 1992),Africa,29316.0
global_risk_data\constitutions_text\Central_African_Republic_2016.html,Central African Republic,Central_African_Republic_2016,2016,,Central African Republic 2016,Africa,14419.0
global_risk_data\constitutions_text\Chad_2018.html,Republic of Chad,Chad_2018,2018,,Chad 2018,Africa,12505.0
global_risk_data\constitutions_text\Chile_2021.html,Republic of Chile,Chile_2021,1980,2021.0,Chile 1980 (rev. 2021),Americas,
global_risk_data\constitutions_text\China_2018.html,People's Republic of China,China_2018,1982,2018.0,China (People’s Republic of) 1982 (rev. 2018),Asia,11436.0
global_risk_data\constitutions_text\Colombia_2015.html,Republic of Colombia,Colombia_2015,1991,2015.0,Colombia 1991 (rev. 2015),Americas,54128.0
global_risk_data\constitutions_text\Comoros_2018.html,Union of the Comoros,Comoros_2018,2018,,Comoros 2018,Africa,6952.0
global_risk_data\constitutions_text\Congo_2015.html,Republic of the Congo,Congo_2015,2015,,Congo (Republic of the) 2015,Africa,13587.0
global_risk_data\constitutions_text\Costa_Rica_2020.html,Republic of Costa Rica,Costa_Rica_2020,1949,2020.0,Costa Rica 1949 (rev. 2020),Americas,
global_risk_data\constitutions_text\Cote_DIvoire_2016.html,Republic of Côte d'Ivoire,Cote_DIvoire_2016,2016,,Côte d'Ivoire 2016,Africa,11708.0
global_risk_data\constitutions_text\Croatia_2013.html,Republic of Croatia,Croatia_2013,1991,2013.0,Croatia 1991 (rev. 2013),Europe,13731.0
global_risk_data\constitutions_text\Cuba_2019.html,Republic of Cuba,Cuba_2019,2019,,Cuba 2019,Americas,
global_risk_data\constitutions_text\Cyprus_2013.html,Republic of Cyprus,Cyprus_2013,1960,2013.0,Cyprus 1960 (rev. 2013),Asia,35760.0
global_risk_data\constitutions_text\Czech_Republic_2013.html,Czech Republic,Czech_Republic_2013,1993,2013.0,Czech Republic 1993 (rev. 2013),Europe,14873.0
global_risk_data\constitutions_text\Democratic_Republic_of_the_Congo_2011.html,Democratic Republic of the Congo,Democratic_Republic_of_the_Congo_2011,2005,2011.0,Congo (Democratic Republic of the) 2005 (rev. 2011),Africa,20283.0
global_risk_data\constitutions_text\Denmark_1953.html,Kingdom of Denmark,Denmark_1953,1953,,Denmark 1953,Europe,6219.0
global_risk_data\constitutions_text\Djibouti_2010.html,Republic of Djibouti,Djibouti_2010,1992,2010.0,Djibouti 1992 (rev. 2010),Africa,6351.0
global_risk_data\constitutions_text\Dominica_2014.html,Commonwealth of Dominica,Dominica_2014,1978,2014.0,Dominica 1978 (rev. 2014),Americas,36170.0
global_risk_data\constitutions_text\Dominican_Republic_2015.html,Dominican Republic,Dominican_Republic_2015,2015,,Dominican Republic 2015,Americas,28577.0
global_risk_data\constitutions_text\East_Timor_2002.html,Democratic Republic of Timor-Leste,East_Timor_2002,2002,,Timor-Leste 2002,Asia,15304.0
global_risk_data\constitutions_text\Ecuador_2021.html,Republic of Ecuador,Ecuador_2021,2008,2021.0,Ecuador 2008 (rev. 2021),Americas,
global_risk_data\constitutions_text\Egypt_2019.html,Arab Republic of Egypt,Egypt_2019,2014,2019.0,Egypt 2014 (rev. 2019),Africa,21306.0
global_risk_data\constitutions_text\El_Salvador_2014.html,Republic of El Salvador,El_Salvador_2014,1983,2014.0,El Salvador 1983 (rev. 2014),Americas,23254.0
global_risk_data\constitutions_text\Equatorial_Guinea_2012.html,Republic of Equatorial Guinea,Equatorial_Guinea_2012,1991,2012.0,Equatorial Guinea 1991 (rev. 2012),Africa,9344.0
global_risk_data\constitutions_text\Eritrea_1997.html,Eritrea,Eritrea_1997,1997,,Eritrea 1997,Africa,6753.0
global_risk_data\constitutions_text\Estonia_2015.html,Republic of Estonia,Estonia_2015,1992,2015.0,Estonia 1992 (rev. 2015),Europe,11258.0
global_risk_data\constitutions_text\Ethiopia_1994.html,Federal Democratic Republic of Ethiopia,Ethiopia_1994,1994,,Ethiopia 1994,Africa,13629.0
global_risk_data\constitutions_text\Fiji_2013.html,Republic of Fiji,Fiji_2013,2013,,Fiji 2013,Oceania,40813.0
global_risk_data\constitutions_text\Finland_2011.html,Republic of Finland,Finland_2011,1999,2011.0,Finland 1999 (rev. 2011),Europe,13015.0
global_risk_data\constitutions_text\France_2008.html,French Republic,France_2008,1958,2008.0,France 1958 (rev. 2008),Europe,13776.0
global_risk_data\constitutions_text\Gabon_2011.html,Gabonese Republic,Gabon_2011,1991,2011.0,Gabon 1991 (rev. 2011),Africa,12155.0
global_risk_data\constitutions_text\Gambia_2018.html,Republic of the Gambia,Gambia_2018,1996,2018.0,Gambia (The) 1996 (rev. 2018),Africa,41503.0
global_risk_data\constitutions_text\Georgia_2018.html,Georgia,Georgia_2018,1995,2018.0,Georgia 1995 (rev. 2018),Asia,15481.0
global_risk_data\constitutions_text\German_Federal_Republic_2014.html,Federal Republic of Germany,German_Federal_Republic_2014,1949,2014.0,Germany 1949 (rev. 2014),Europe,27748.0
global_risk_data\constitutions_text\Ghana_1996.html,Republic of Ghana,Ghana_1996,1992,1996.0,Ghana 1992 (rev. 1996),Africa,54081.0
global_risk_data\constitutions_text\Greece_2008.html,Hellenic Republic,Greece_2008,1975,2008.0,Greece 1975 (rev. 2008),Europe,27104.0
global_risk_data\constitutions_text\Grenada_1992.html,Grenada,Grenada_1992,1973,1992.0,"Grenada 1973 (reinst. 1991, rev. 1992)",Americas,32330.0
global_risk_data\constitutions_text\Guatemala_1993.html,Republic of Guatemala,Guatemala_1993,1985,1993.0,Guatemala 1985 (rev. 1993),Americas,30414.0
global_risk_data\constitutions_text\Guinea_Bissau_1996.html,Republic of Guinea-Bissau,Guinea_Bissau_1996,1984,1996.0,Guinea-Bissau 1984 (rev. 1996),Africa,9125.0
global_risk_data\constitutions_text\Guyana_2016.html,Republic of Guyana,Guyana_2016,1980,2016.0,Guyana 1980 (rev. 2016),Americas,53079.0
global_risk_data\constitutions_text\Haiti_2012.html,Republic of Haiti,Haiti_2012,1987,2012.0,Haiti 1987 (rev. 2012),Americas,19919.0
global_risk_data\constitutions_text\Honduras_2013.html,Republic of Honduras,Honduras_2013,1982,2013.0,Honduras 1982 (rev. 2013),Americas,26680.0
global_risk_data\constitutions_text\Hungary_2016.html,Hungary,Hungary_2016,2011,2016.0,Hungary 2011 (rev. 2016),Europe,21029.0
global_risk_data\constitutions_text\Iceland_2013.html,Republic of Iceland,Iceland_2013,1944,2013.0,Iceland 1944 (rev. 2013),Europe,4507.0
global_risk_data\constitutions_text\India_2016.html,Republic of India,India_2016,1949,2016.0,India 1949 (rev. 2016),Asia,104586.0
global_risk_data\constitutions_text\Indonesia_2002.html,Republic of Indonesia,Indonesia_2002,1945,2002.0,"Indonesia 1945 (reinst. 1959, rev. 2002)",Asia,5913.0
global_risk_data\constitutions_text\Iran_1989.html,Islamic Republic of Iran,Iran_1989,1979,1989.0,Iran (Islamic Republic of) 1979 (rev. 1989),Asia,16177.0
global_risk_data\constitutions_text\Iraq_2005.html,Republic of Iraq,Iraq_2005,2005,,Iraq 2005,Asia,11553.0
global_risk_data\constitutions_text\Ireland_2019.html,Ireland,Ireland_2019,1937,2019.0,Ireland 1937 (rev. 2019),Europe,16281.0
global_risk_data\constitutions_text\Israel_2013.html,State of Israel,Israel_2013,1958,2013.0,Israel 1958 (rev. 2013),Asia,18150.0
global_risk_data\constitutions_text\Italy_2020.html,Republic of Italy,Italy_2020,1947,2020.0,Italy 1947 (rev. 2020),Europe,
global_risk_data\constitutions_text\Jamaica_2015.html,Jamaica,Jamaica_2015,1962,2015.0,Jamaica 1962 (rev. 2015),Americas,37508.0
global_risk_data\constitutions_text\Japan_1946.html,Japan,Japan_1946,1946,,Japan 1946,Asia,4977.0
global_risk_data\constitutions_text\Jordan_2016.html,Hashemite Kingdom of Jordan,Jordan_2016,1952,2016.0,Jordan 1952 (rev. 2016),Asia,10459.0
global_risk_data\constitutions_text\Kazakhstan_2017.html,Republic of Kazakhstan,Kazakhstan_2017,1995,2017.0,Kazakhstan 1995 (rev. 2017),Asia,13979.0
global_risk_data\constitutions_text\Kenya_2010.html,Republic of Kenya,Kenya_2010,2010,,Kenya 2010,Africa,47778.0
global_risk_data\constitutions_text\Kiribati_2013.html,Republic of Kiribati,Kiribati_2013,1979,2013.0,Kiribati 1979 (rev. 2013),Oceania,25942.0
global_risk_data\constitutions_text\Kosovo_2016.html,Republic of Kosovo,Kosovo_2016,2008,2016.0,Kosovo 2008 (rev. 2016),Europe,22523.0
global_risk_data\constitutions_text\Kuwait_1992.html,State of Kuwait,Kuwait_1992,1962,,Kuwait 1962 (reinst. 1992),Asia,8246.0
global_risk_data\constitutions_text\Kyrgyz_Republic_2016.html,Kyrgyz Republic,Kyrgyz_Republic_2016,2010,2016.0,Kyrgyzstan 2010 (rev. 2016),Asia,15233.0
global_risk_data\constitutions_text\Laos_2015.html,Lao People's Democratic Republic,Laos_2015,1991,2015.0,Lao People's Democratic Republic 1991 (rev. 2015),Asia,8762.0
global_risk_data\constitutions_text\Latvia_2016.html,Republic of Latvia,Latvia_2016,1922,2016.0,"Latvia 1922 (reinst. 1991, rev. 2016)",Europe,5228.0
global_risk_data\constitutions_text\Lebanon_2004.html,Lebanese Republic,Lebanon_2004,1926,2004.0,Lebanon 1926 (rev. 2004),Asia,6265.0
global_risk_data\constitutions_text\Lesotho_2018.html,Kingdom of Lesotho,Lesotho_2018,1993,2018.0,Lesotho 1993 (rev. 2018),Africa,43666.0
global_risk_data\constitutions_text\Liberia_1986.html,Republic of Liberia,Liberia_1986,1986,,Liberia 1986,Africa,11600.0
global_risk_data\constitutions_text\Libya_2012.html,Libya,Libya_2012,2011,2012.0,Libya 2011 (rev. 2012),Africa,2999.0
global_risk_data\constitutions_text\Liechtenstein_2011.html,Principality of Liechtenstein,Liechtenstein_2011,1921,2011.0,Liechtenstein 1921 (rev. 2011),Europe,9528.0
